"","trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend","likesp","dislikesp"
"31",2017-11-14,"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......","hp_overload","Autos and Vehicles",2017-11-12 20:43:12,98378,4035,495,486,FALSE,FALSE,FALSE,20,"3pm to 12am","Sunday","1",0.0410152676411393,0.00503161275895017
"35",2017-11-14,"New Emirates First Class Suite | Boeing 777 | Emirates","Emirates","Travel and Events",2017-11-12 00:55:42,141148,1661,70,236,FALSE,FALSE,FALSE,0,"12am to 8am","Sunday","2",0.0117677898376173,0.000495933346558223
"59",2017-11-14,"Train Swipes Parked Vehicle","ViralHog","Autos and Vehicles",2017-11-12 19:46:11,7265,89,8,22,FALSE,FALSE,FALSE,19,"3pm to 12am","Sunday","1",0.0122505161734343,0.00110116999311769
"132",2017-11-14,"L.A. Noire - Nintendo Switch Trailer","Nintendo","Gaming",2017-11-09 14:59:48,154872,7683,164,1734,FALSE,FALSE,FALSE,14,"8am to 3pm","Thursday","5",0.0496087091275376,0.00105893899478279
"164",2017-11-14,"Caterham Chris Hoy 60 Second Donut Challenge","Caterham Cars","Autos and Vehicles",2017-11-09 04:59:31,4850,22,1,1,FALSE,FALSE,FALSE,4,"12am to 8am","Thursday","5",0.0045360824742268,0.000206185567010309
"198",2017-11-14,"Inside Keanu Reeves' Custom Motorcycle Shop | WIRED","WIRED","Autos and Vehicles",2017-11-08 10:00:27,704363,16352,224,841,FALSE,FALSE,FALSE,10,"8am to 3pm","Wednesday","6",0.0232153023370052,0.000318017840232948
"274",2017-11-15,"Evolution of the Jeep 4x4 Utility Vehicle | Donut Media","Donut Media","Autos and Vehicles",2017-11-13 10:00:05,93829,2229,36,469,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","2",0.0237559816261497,0.000383676688443871
"292",2017-11-15,"'Lightning Strike' B777-300 on departure @ KL743 // PH-BVS","Valk Aviation","Travel and Events",2017-11-13 04:21:27,571588,386,47,113,FALSE,FALSE,FALSE,4,"12am to 8am","Monday","2",0.000675311588066929,0.0000822270586506365
"406",2017-11-16,"Our First Date","iHasCupquake","Gaming",2017-11-15 15:00:00,224426,17784,225,2762,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","1",0.0792421555434754,0.00100255763592454
"542",2017-11-16,"Vostok Brompton Beach Ride","Vostok.bike","Travel and Events",2017-10-21 11:12:53,1118,6,0,2,FALSE,FALSE,FALSE,11,"8am to 3pm","Saturday","8+",0.00536672629695885,0
"653",2017-11-17,"Playing CUPHEAD with MatPat!","Butch Hartman","Gaming",2017-11-15 17:02:34,55460,3871,96,428,FALSE,FALSE,FALSE,17,"3pm to 12am","Wednesday","2",0.069798052650559,0.00173097728092319
"698",2017-11-17,"The Crazy 5,000hp Devel Sixteen is REAL! | FIRST LOOK","Shmee150","Autos and Vehicles",2017-11-14 13:00:02,298744,5906,444,1502,FALSE,FALSE,FALSE,13,"8am to 3pm","Tuesday","3",0.0197694346999438,0.00148622231743566
